이름,연도,타율,출루,장타,OPS,경기당득점,경기당안타,경기당2루타,경기당3루타,경기당홈런,경기당루타,경기당타점,경기당도루,경기당볼넷,경기당삼진,경기당병살,경기당희생타
삼성,1998,0.268,0.346,0.428,0.773,4.920634920634921,9.071428571428571,1.6746031746031746,0.15873015873015872,1.1349206349206349,14.468253968253968,4.571428571428571,0.9285714285714286,3.5396825396825395,6.523809523809524,0.8174603174603174,0.7142857142857143
KIA,2002,0.269,0.344,0.402,0.746,4.834586466165414,9.24812030075188,1.6541353383458646,0.10526315789473684,0.9022556390977443,13.819548872180452,4.593984962406015,1.1654135338345866,3.4135338345864663,6.87218045112782,0.8045112781954887,0.3383458646616541
롯데,1999,0.291,0.363,0.461,0.824,5.704545454545454,9.916666666666666,1.9772727272727273,0.25757575757575757,1.0984848484848484,15.704545454545455,5.371212121212121,0.7424242424242424,3.522727272727273,6.174242424242424,0.7045454545454546,0.75
두산,2011,0.271,0.354,0.388,0.742,4.616541353383458,9.180451127819548,1.4736842105263157,0.20300751879699247,0.6917293233082706,13.135338345864662,4.345864661654136,0.9774436090225563,3.857142857142857,6.007518796992481,0.8872180451127819,0.5488721804511278
두산,2019,0.278,0.355,0.389,0.745,5.111111111111111,9.472222222222221,1.6319444444444444,0.2152777777777778,0.5833333333333334,13.284722222222221,4.805555555555555,0.7083333333333334,3.9027777777777777,5.548611111111111,0.8125,0.2708333333333333
삼성,2001,0.277,0.36,0.447,0.807,5.556390977443609,9.488721804511279,1.8345864661654134,0.15789473684210525,1.218045112781955,15.293233082706767,5.225563909774436,0.5488721804511278,3.9097744360902253,6.120300751879699,0.8345864661654135,0.518796992481203
해태,1988,0.283,0.351,0.423,0.774,4.657407407407407,9.342592592592593,1.2407407407407407,0.12962962962962962,1.037037037037037,13.953703703703704,4.314814814814815,1.2592592592592593,3.175925925925926,3.462962962962963,0.8796296296296297,0.7129629629629629
해태,1997,0.258,0.34,0.408,0.748,4.888888888888889,8.579365079365079,1.6507936507936507,0.07142857142857142,1.0555555555555556,13.53968253968254,4.587301587301587,1.1746031746031746,3.6984126984126986,5.73015873015873,0.8095238095238095,0.6190476190476191
쌍방울,1997,0.269,0.351,0.414,0.766,4.777777777777778,8.65079365079365,1.5952380952380953,0.23809523809523808,0.873015873015873,13.341269841269842,4.484126984126984,0.6428571428571429,3.888888888888889,5.5,0.7857142857142857,1.0873015873015872
롯데,2001,0.28,0.366,0.425,0.791,5.398496240601504,9.511278195488721,1.8571428571428572,0.18045112781954886,0.9097744360902256,14.458646616541353,5.045112781954887,0.7969924812030075,4.398496240601504,6.142857142857143,0.6691729323308271,0.6165413533834586
두산,2008,0.276,0.354,0.378,0.732,5.134920634920635,9.507936507936508,1.3174603174603174,0.29365079365079366,0.5396825396825397,13.031746031746032,4.746031746031746,1.5,3.746031746031746,5.7063492063492065,0.9126984126984127,0.2857142857142857
두산,2001,0.276,0.359,0.421,0.78,5.503759398496241,9.518796992481203,1.6616541353383458,0.19548872180451127,0.9774436090225563,14.503759398496241,5.172932330827067,0.9924812030075187,4.2105263157894735,5.2406015037593985,0.8721804511278195,0.40601503759398494
롯데,1995,0.255,0.333,0.364,0.696,4.682539682539683,8.5,1.253968253968254,0.40476190476190477,0.5158730158730159,12.11111111111111,4.380952380952381,1.746031746031746,3.5476190476190474,5.761904761904762,0.5873015873015873,0.4444444444444444
LG,1997,0.267,0.343,0.394,0.737,4.682539682539683,8.801587301587302,1.746031746031746,0.23015873015873015,0.6587301587301587,12.984126984126984,4.357142857142857,1.0873015873015872,3.3492063492063493,4.76984126984127,0.6507936507936508,0.7698412698412699
삼성,1990,0.263,0.341,0.411,0.752,4.941666666666666,8.666666666666666,1.4166666666666667,0.10833333333333334,1.0916666666666666,13.575,4.625,0.9,3.6166666666666667,4.433333333333334,0.7583333333333333,0.5666666666666667
해태,1990,0.27,0.352,0.392,0.744,4.483333333333333,8.883333333333333,1.475,0.19166666666666668,0.725,12.916666666666666,4.175,0.8416666666666667,3.8833333333333333,4.533333333333333,0.8333333333333334,0.7916666666666666
KIA,2022,0.272,0.349,0.398,0.746,5.0,9.458333333333334,1.7361111111111112,0.13194444444444445,0.7847222222222222,13.8125,4.694444444444445,0.7152777777777778,3.763888888888889,6.826388888888889,0.7708333333333334,0.4166666666666667
LG,1998,0.267,0.339,0.401,0.74,4.833333333333333,8.976190476190476,1.8174603174603174,0.16666666666666666,0.7936507936507936,13.507936507936508,4.5,0.7857142857142857,3.3095238095238093,5.5476190476190474,0.746031746031746,0.6111111111111112
삼성,1994,0.26,0.34,0.386,0.726,4.2936507936507935,8.579365079365079,1.3095238095238095,0.1746031746031746,0.8412698412698413,12.761904761904763,4.0476190476190474,0.9523809523809523,3.634920634920635,5.158730158730159,0.753968253968254,0.626984126984127
LG,2020,0.277,0.349,0.428,0.778,5.569444444444445,9.61111111111111,1.7569444444444444,0.2013888888888889,1.0347222222222223,14.875,5.277777777777778,0.5763888888888888,3.5347222222222223,6.729166666666667,0.7986111111111112,0.3402777777777778
삼성,2000,0.269,0.348,0.447,0.795,5.593984962406015,9.19548872180451,1.849624060150376,0.11278195488721804,1.330827067669173,15.263157894736842,5.323308270676692,0.6090225563909775,3.7293233082706765,7.2706766917293235,0.7293233082706767,0.3533834586466165
한화,2000,0.276,0.346,0.457,0.803,5.112781954887218,9.548872180451127,1.9924812030075187,0.10526315789473684,1.3533834586466165,15.81203007518797,4.924812030075188,0.5864661654135338,3.3759398496240602,7.496240601503759,0.9774436090225563,0.3383458646616541
삼성,1999,0.273,0.352,0.46,0.812,5.666666666666667,9.424242424242424,1.5303030303030303,0.10606060606060606,1.5681818181818181,15.871212121212121,5.393939393939394,1.0606060606060606,3.659090909090909,7.303030303030303,0.6818181818181818,0.5984848484848485
